P_MPa,T_C,solubility_pct,viscosity_mm2s
0.1,-60,100.0,0.3472
0.15,-60,100.0,0.3472
0.2,-60,100.0,0.3472
0.25,-60,100.0,0.3472
0.3,-60,100.0,0.3472
0.35,-60,100.0,0.3472
0.4,-60,100.0,0.3472
0.45,-60,100.0,0.3472
0.5,-60,100.0,0.3472
0.55,-60,100.0,0.3472
0.6,-60,100.0,0.3472
0.65,-60,100.0,0.3472
0.7,-60,100.0,0.3472
0.75,-60,100.0,0.3472
0.8,-60,100.0,0.3472
0.85,-60,100.0,0.3472
0.9,-60,100.0,0.3472
0.95,-60,100.0,0.3472
1.0,-60,100.0,0.3472
1.05,-60,100.0,0.3472
1.1,-60,100.0,0.3472
1.15,-60,100.0,0.3472
1.2,-60,100.0,0.3472
1.25,-60,100.0,0.3472
1.3,-60,100.0,0.3472
1.35,-60,100.0,0.3472
1.4,-60,100.0,0.3472
1.45,-60,100.0,0.3472
1.5,-60,100.0,0.3472
1.55,-60,100.0,0.3472
1.6,-60,100.0,0.3472
1.65,-60,100.0,0.3472
1.7,-60,100.0,0.3472
1.75,-60,100.0,0.3472
1.8,-60,100.0,0.3472
1.85,-60,100.0,0.3472
1.9,-60,100.0,0.3472
1.95,-60,100.0,0.3472
2.0,-60,100.0,0.3472
2.05,-60,100.0,0.3472
2.1,-60,100.0,0.3472
2.15,-60,100.0,0.3472
2.2,-60,100.0,0.3472
2.25,-60,100.0,0.3472
2.3,-60,100.0,0.3472
2.35,-60,100.0,0.3472
2.4,-60,100.0,0.3472
2.45,-60,100.0,0.3472
2.5,-60,100.0,0.3472
2.55,-60,100.0,0.3472
2.6,-60,100.0,0.3472
2.65,-60,100.0,0.3472
2.7,-60,100.0,0.3472
2.75,-60,100.0,0.3472
2.8,-60,100.0,0.3472
2.85,-60,100.0,0.3472
2.9,-60,100.0,0.3472
2.95,-60,100.0,0.3472
3.0,-60,100.0,0.3472
3.05,-60,100.0,0.3472
3.1,-60,100.0,0.3472
3.15,-60,100.0,0.3472
3.2,-60,100.0,0.3472
3.25,-60,100.0,0.3472
3.3,-60,100.0,0.3472
3.35,-60,100.0,0.3472
3.4,-60,100.0,0.3472
3.45,-60,100.0,0.3472
3.5,-60,100.0,0.3472
3.55,-60,100.0,0.3472
3.6,-60,100.0,0.3472
3.65,-60,100.0,0.3472
3.7,-60,100.0,0.3472
3.75,-60,100.0,0.3472
3.8,-60,100.0,0.3472
3.85,-60,100.0,0.3472
3.9,-60,100.0,0.3472
3.95,-60,100.0,0.3472
4.0,-60,100.0,0.3472
0.1,-55,100.0,0.3472
0.15,-55,100.0,0.3472
0.2,-55,100.0,0.3472
0.25,-55,100.0,0.3472
0.3,-55,100.0,0.3472
0.35,-55,100.0,0.3472
0.4,-55,100.0,0.3472
0.45,-55,100.0,0.3472
0.5,-55,100.0,0.3472
0.55,-55,100.0,0.3472
0.6,-55,100.0,0.3472
0.65,-55,100.0,0.3472
0.7,-55,100.0,0.3472
0.75,-55,100.0,0.3472
0.8,-55,100.0,0.3472
0.85,-55,100.0,0.3472
0.9,-55,100.0,0.3472
0.95,-55,100.0,0.3472
1.0,-55,100.0,0.3472
1.05,-55,100.0,0.3472
1.1,-55,100.0,0.3472
1.15,-55,100.0,0.3472
1.2,-55,100.0,0.3472
1.25,-55,100.0,0.3472
1.3,-55,100.0,0.3472
1.35,-55,100.0,0.3472
1.4,-55,100.0,0.3472
1.45,-55,100.0,0.3472
1.5,-55,100.0,0.3472
1.55,-55,100.0,0.3472
1.6,-55,100.0,0.3472
1.65,-55,100.0,0.3472
1.7,-55,100.0,0.3472
1.75,-55,100.0,0.3472
1.8,-55,100.0,0.3472
1.85,-55,100.0,0.3472
1.9,-55,100.0,0.3472
1.95,-55,100.0,0.3472
2.0,-55,100.0,0.3472
2.05,-55,100.0,0.3472
2.1,-55,100.0,0.3472
2.15,-55,100.0,0.3472
2.2,-55,100.0,0.3472
2.25,-55,100.0,0.3472
2.3,-55,100.0,0.3472
2.35,-55,100.0,0.3472
2.4,-55,100.0,0.3472
2.45,-55,100.0,0.3472
2.5,-55,100.0,0.3472
2.55,-55,100.0,0.3472
2.6,-55,100.0,0.3472
2.65,-55,100.0,0.3472
2.7,-55,100.0,0.3472
2.75,-55,100.0,0.3472
2.8,-55,100.0,0.3472
2.85,-55,100.0,0.3472
2.9,-55,100.0,0.3472
2.95,-55,100.0,0.3472
3.0,-55,100.0,0.3472
3.05,-55,100.0,0.3472
3.1,-55,100.0,0.3472
3.15,-55,100.0,0.3472
3.2,-55,100.0,0.3472
3.25,-55,100.0,0.3472
3.3,-55,100.0,0.3472
3.35,-55,100.0,0.3472
3.4,-55,100.0,0.3472
3.45,-55,100.0,0.3472
3.5,-55,100.0,0.3472
3.55,-55,100.0,0.3472
3.6,-55,100.0,0.3472
3.65,-55,100.0,0.3472
3.7,-55,100.0,0.3472
3.75,-55,100.0,0.3472
3.8,-55,100.0,0.3472
3.85,-55,100.0,0.3472
3.9,-55,100.0,0.3472
3.95,-55,100.0,0.3472
4.0,-55,100.0,0.3472
0.1,-50,100.0,0.3472
0.15,-50,100.0,0.3472
0.2,-50,100.0,0.3472
0.25,-50,100.0,0.3472
0.3,-50,100.0,0.3472
0.35,-50,100.0,0.3472
0.4,-50,100.0,0.3472
0.45,-50,100.0,0.3472
0.5,-50,100.0,0.3472
0.55,-50,100.0,0.3472
0.6,-50,100.0,0.3472
0.65,-50,100.0,0.3472
0.7,-50,100.0,0.3472
0.75,-50,100.0,0.3472
0.8,-50,100.0,0.3472
0.85,-50,100.0,0.3472
0.9,-50,100.0,0.3472
0.95,-50,100.0,0.3472
1.0,-50,100.0,0.3472
1.05,-50,100.0,0.3472
1.1,-50,100.0,0.3472
1.15,-50,100.0,0.3472
1.2,-50,100.0,0.3472
1.25,-50,100.0,0.3472
1.3,-50,100.0,0.3472
1.35,-50,100.0,0.3472
1.4,-50,100.0,0.3472
1.45,-50,100.0,0.3472
1.5,-50,100.0,0.3472
1.55,-50,100.0,0.3472
1.6,-50,100.0,0.3472
1.65,-50,100.0,0.3472
1.7,-50,100.0,0.3472
1.75,-50,100.0,0.3472
1.8,-50,100.0,0.3472
1.85,-50,100.0,0.3472
1.9,-50,100.0,0.3472
1.95,-50,100.0,0.3472
2.0,-50,100.0,0.3472
2.05,-50,100.0,0.3472
2.1,-50,100.0,0.3472
2.15,-50,100.0,0.3472
2.2,-50,100.0,0.3472
2.25,-50,100.0,0.3472
2.3,-50,100.0,0.3472
2.35,-50,100.0,0.3472
2.4,-50,100.0,0.3472
2.45,-50,100.0,0.3472
2.5,-50,100.0,0.3472
2.55,-50,100.0,0.3472
2.6,-50,100.0,0.3472
2.65,-50,100.0,0.3472
